FIP_ID,State,Area_Name,Overall Poverty 2017,Median_Household_Income_2017,POP_ESTIMATE_2017,POP_ESTIMATE_2018,N_POP_CHG_2017,N_POP_CHG_2018,Births_2017,Births_2018,Deaths_2017,Deaths_2018,INTERNATIONAL_MIG_2017,INTERNATIONAL_MIG_2018,DOMESTIC_MIG_2017,DOMESTIC_MIG_2018,NET_MIG_2017,NET_MIG_2018,R_death_2017,R_death_2018,Less than a high school diploma  2013-17,High school diploma only  2013-17,Some college  associates degree  2013-17,Bachelors degree higher  2013-17,Percent of adults with less than a high school diploma  2013-17,Percent of adults with a high school diploma only  2013-17,Percent of adults completing some college or associates degree  2013-17,Percent of adults with a bachelors degree or higher  2013-17,Civilian_labor_force_2017,Employed_2017,Unemployed_2017,Unemployment_rate_2017,Civilian_labor_force_2018,Employed_2018,Unemployed_2018,Unemployment_rate_2018,Median_Household_Income_2017
1,NC,Alamance County,22721,47914,163529,166436,3137,2907,1911,1895,1590,1623,107,116,2703,2511,2810,2627,10,10,16058,29752,36294,24339,15,28,34,23,79984,76611,3373,4,80583,77625,2958,4,47914
3,NC,Alexander County,4182,48577,37146,37353,4,207,355,356,387,391,7,7,29,237,36,244,10,11,4805,10600,7471,3685,18,40,28,14,17982,17334,648,4,18023,17453,570,3,48577
5,NC,Alleghany County,2274,38994,11023,11161,97,138,100,97,125,135,2,2,120,173,122,175,11,12,1708,2487,2371,1510,21,31,29,19,4364,4145,219,5,4305,4111,194,5,38994
7,NC,Anson County,5039,41266,24878,24877,-304,-1,255,256,285,267,29,30,-306,-20,-277,10,11,11,3605,7455,5352,1669,20,41,30,9,10530,9991,539,5,10407,9942,465,5,41266
9,NC,Ashe County,4267,40611,26803,27109,192,306,213,207,330,355,-6,-7,315,459,309,452,12,13,3042,6337,6884,3944,15,31,34,20,12669,12153,516,4,12750,12292,458,4,40611
11,NC,Avery County,2806,40682,17505,17505,82,0,134,130,174,215,17,17,106,69,123,86,10,12,2574,3973,4001,2677,20,30,30,20,7643,7318,325,4,7639,7361,278,4,40682
13,NC,Beaufort County,10260,43497,47051,47079,-319,28,458,439,640,620,4,4,-137,206,-133,210,14,13,4759,11353,11084,6639,14,34,33,20,19999,18998,1001,5,19739,18839,900,5,43497
15,NC,Bertie County,4896,33022,19274,19026,-158,-248,181,172,244,262,21,21,-116,-177,-95,-156,13,14,3502,5432,3921,1802,24,37,27,12,8084,7610,474,6,7832,7445,387,5,33022
17,NC,Bladen County,6869,38059,33468,33190,-236,-278,339,322,437,466,12,14,-147,-147,-135,-133,13,14,5045,8000,7704,3530,21,33,32,15,14427,13593,834,6,14418,13659,759,5,38059
19,NC,Brunswick County,15429,56227,130735,136744,4433,6009,972,983,1548,1649,-17,-6,4988,6620,4971,6614,12,12,10385,26098,32147,26690,11,27,34,28,51356,48472,2884,6,52867,50144,2723,5,56227
