statecode,countycode,state,county
1,1,AL,Autauga County
1,3,AL,Baldwin County
1,5,AL,Barbour County
1,7,AL,Bibb County
1,9,AL,Blount County
1,11,AL,Bullock County
1,13,AL,Butler County
1,15,AL,Calhoun County
1,17,AL,Chambers County
1,19,AL,Cherokee County
1,21,AL,Chilton County
1,23,AL,Choctaw County
1,25,AL,Clarke County
1,27,AL,Clay County
1,29,AL,Cleburne County
1,31,AL,Coffee County
1,33,AL,Colbert County
1,35,AL,Conecuh County
1,37,AL,Coosa County
1,39,AL,Covington County
1,41,AL,Crenshaw County
1,43,AL,Cullman County
1,45,AL,Dale County
1,47,AL,Dallas County
1,49,AL,DeKalb County
1,51,AL,Elmore County
1,53,AL,Escambia County
1,55,AL,Etowah County
1,57,AL,Fayette County
1,59,AL,Franklin County
1,61,AL,Geneva County
1,63,AL,Greene County
1,65,AL,Hale County
1,67,AL,Henry County
1,69,AL,Houston County
1,71,AL,Jackson County
1,73,AL,Jefferson County
1,75,AL,Lamar County
1,77,AL,Lauderdale County
1,79,AL,Lawrence County
1,81,AL,Lee County
1,83,AL,Limestone County
1,85,AL,Lowndes County
1,87,AL,Macon County
1,89,AL,Madison County
1,91,AL,Marengo County
1,93,AL,Marion County
1,95,AL,Marshall County
1,97,AL,Mobile County
1,99,AL,Monroe County
1,101,AL,Montgomery County
1,103,AL,Morgan County
1,105,AL,Perry County
1,107,AL,Pickens County
1,109,AL,Pike County
1,111,AL,Randolph County
1,113,AL,Russell County
1,115,AL,St. Clair County
1,117,AL,Shelby County
1,119,AL,Sumter County
1,121,AL,Talladega County
1,123,AL,Tallapoosa County
1,125,AL,Tuscaloosa County
1,127,AL,Walker County
1,129,AL,Washington County
1,131,AL,Wilcox County
1,133,AL,Winston County
2,13,AK,Aleutians East Borough
2,16,AK,Aleutians West Census Area
2,20,AK,Anchorage Borough
2,50,AK,Bethel Census Area
2,60,AK,Bristol Bay Borough
2,68,AK,Denali Borough
2,70,AK,Dillingham Census Area
2,90,AK,Fairbanks North Star Borough
2,100,AK,Haines Borough
2,105,AK,Hoonah-Angoon Census Area
2,110,AK,Juneau Borough
2,122,AK,Kenai Peninsula Borough
2,130,AK,Ketchikan Gateway Borough
2,150,AK,Kodiak Island Borough
2,158,AK,Kusilvak Census Area
2,164,AK,Lake and Peninsula Borough
2,170,AK,Matanuska-Susitna Borough
2,180,AK,Nome Census Area
2,185,AK,North Slope Borough
2,188,AK,Northwest Arctic Borough
2,195,AK,Petersburg Census Area
2,198,AK,Prince of Wales-Hyder Census Area
2,220,AK,Sitka Borough
2,230,AK,Skagway Municipality
2,240,AK,Southeast Fairbanks Census Area
2,261,AK,Valdez-Cordova Census Area
2,275,AK,Wrangell City
2,282,AK,Yakutat Borough
2,290,AK,Yukon-Koyukuk Census Area
4,1,AZ,Apache County
4,3,AZ,Cochise County
4,5,AZ,Coconino County
4,7,AZ,Gila County
4,9,AZ,Graham County
4,11,AZ,Greenlee County
4,12,AZ,La Paz County
4,13,AZ,Maricopa County
4,15,AZ,Mohave County
4,17,AZ,Navajo County
4,19,AZ,Pima County
4,21,AZ,Pinal County
4,23,AZ,Santa Cruz County
4,25,AZ,Yavapai County
4,27,AZ,Yuma County
5,1,AR,Arkansas County
5,3,AR,Ashley County
5,5,AR,Baxter County
5,7,AR,Benton County
5,9,AR,Boone County
5,11,AR,Bradley County
5,13,AR,Calhoun County
5,15,AR,Carroll County
5,17,AR,Chicot County
5,19,AR,Clark County
5,21,AR,Clay County
5,23,AR,Cleburne County
5,25,AR,Cleveland County
5,27,AR,Columbia County
5,29,AR,Conway County
5,31,AR,Craighead County
5,33,AR,Crawford County
5,35,AR,Crittenden County
5,37,AR,Cross County
5,39,AR,Dallas County
5,41,AR,Desha County
5,43,AR,Drew County
5,45,AR,Faulkner County
5,47,AR,Franklin County
5,49,AR,Fulton County
5,51,AR,Garland County
5,53,AR,Grant County
5,55,AR,Greene County
5,57,AR,Hempstead County
5,59,AR,Hot Spring County
5,61,AR,Howard County
5,63,AR,Independence County
5,65,AR,Izard County
5,67,AR,Jackson County
5,69,AR,Jefferson County
5,71,AR,Johnson County
5,73,AR,Lafayette County
5,75,AR,Lawrence County
5,77,AR,Lee County
5,79,AR,Lincoln County
5,81,AR,Little River County
5,83,AR,Logan County
5,85,AR,Lonoke County
5,87,AR,Madison County
5,89,AR,Marion County
5,91,AR,Miller County
5,93,AR,Mississippi County
5,95,AR,Monroe County
5,97,AR,Montgomery County
5,99,AR,Nevada County
5,101,AR,Newton County
5,103,AR,Ouachita County
5,105,AR,Perry County
5,107,AR,Phillips County
5,109,AR,Pike County
5,111,AR,Poinsett County
5,113,AR,Polk County
5,115,AR,Pope County
5,117,AR,Prairie County
5,119,AR,Pulaski County
5,121,AR,Randolph County
5,123,AR,St. Francis County
5,125,AR,Saline County
5,127,AR,Scott County
5,129,AR,Searcy County
5,131,AR,Sebastian County
5,133,AR,Sevier County
5,135,AR,Sharp County
5,137,AR,Stone County
5,139,AR,Union County
5,141,AR,Van Buren County
5,143,AR,Washington County
5,145,AR,White County
5,147,AR,Woodruff County
5,149,AR,Yell County
6,1,CA,Alameda County
6,3,CA,Alpine County
6,5,CA,Amador County
6,7,CA,Butte County
6,9,CA,Calaveras County
6,11,CA,Colusa County
6,13,CA,Contra Costa County
6,15,CA,Del Norte County
